,node,rank,time (inc),time,nid,name,type,file,line,module,callees,callers,path,group_path,component_path
0,"{'name': '<program root>', 'type': 'function'}",0,999238.0,0.0,2,11,PF,<unknown file>,0,0,[18],[],[11],[0],[11]
1,"{'name': '<program root>', 'type': 'function'}",1,999390.0,0.0,2,11,PF,<unknown file>,0,0,[18],[],[11],[0],[11]
2,"{'name': '<program root>', 'type': 'function'}",2,1000306.0,0.0,2,11,PF,<unknown file>,0,0,[18],[],[11],[0],[11]
3,"{'name': '<program root>', 'type': 'function'}",3,999308.0,0.0,2,11,PF,<unknown file>,0,0,[18],[],[11],[0],[11]
4,"{'name': 'main', 'type': 'function'}",0,999238.0,0.0,4,18,PF,./src/cpi.c,19,4,"[4, 10]",[11],"[11, 18]",[0 4],[18]
5,"{'name': 'main', 'type': 'function'}",1,999390.0,0.0,4,18,PF,./src/cpi.c,19,4,"[4, 10]",[11],"[11, 18]",[0 4],[18]
6,"{'name': 'main', 'type': 'function'}",2,1000306.0,0.0,4,18,PF,./src/cpi.c,19,4,"[4, 10]",[11],"[11, 18]",[0 4],[18]
7,"{'name': 'main', 'type': 'function'}",3,999308.0,0.0,4,18,PF,./src/cpi.c,19,4,"[4, 10]",[11],"[11, 18]",[0 4],[18]
36,"{'name': '<unknown procedure>', 'type': 'function'}",0,0.0,0.0,20,13,PF,<unknown file>,0,2,[12],[13],"[11, 18, 10, 14, 5, 0, 2, 8, 13, 13, 13, 13]",[0 4 0 3 2],"[8, 13, 13, 13, 13]"
37,"{'name': '<unknown procedure>', 'type': 'function'}",1,0.0,0.0,20,13,PF,<unknown file>,0,2,[12],[13],"[11, 18, 10, 14, 5, 0, 2, 8, 13, 13, 13, 13]",[0 4 0 3 2],"[8, 13, 13, 13, 13]"
38,"{'name': '<unknown procedure>', 'type': 'function'}",2,0.0,0.0,20,13,PF,<unknown file>,0,2,[12],[13],"[11, 18, 10, 14, 5, 0, 2, 8, 13, 13, 13, 13]",[0 4 0 3 2],"[8, 13, 13, 13, 13]"
39,"{'name': '<unknown procedure>', 'type': 'function'}",3,0.0,0.0,20,13,PF,<unknown file>,0,2,[12],[13],"[11, 18, 10, 14, 5, 0, 2, 8, 13, 13, 13, 13]",[0 4 0 3 2],"[8, 13, 13, 13, 13]"
40,"{'name': '<unknown procedure>', 'type': 'function'}",0,0.0,0.0,22,13,PF,<unknown file>,0,2,[12],[13],"[11, 18, 10, 14, 5, 0, 2, 8, 13, 13, 13, 13]",[0 4 0 3 2],"[8, 13, 13, 13, 13]"
41,"{'name': '<unknown procedure>', 'type': 'function'}",1,0.0,0.0,22,13,PF,<unknown file>,0,2,[12],[13],"[11, 18, 10, 14, 5, 0, 2, 8, 13, 13, 13, 13]",[0 4 0 3 2],"[8, 13, 13, 13, 13]"
42,"{'name': '<unknown procedure>', 'type': 'function'}",2,0.0,0.0,22,13,PF,<unknown file>,0,2,[12],[13],"[11, 18, 10, 14, 5, 0, 2, 8, 13, 13, 13, 13]",[0 4 0 3 2],"[8, 13, 13, 13, 13]"
43,"{'name': '<unknown procedure>', 'type': 'function'}",3,0.0,0.0,22,13,PF,<unknown file>,0,2,[12],[13],"[11, 18, 10, 14, 5, 0, 2, 8, 13, 13, 13, 13]",[0 4 0 3 2],"[8, 13, 13, 13, 13]"
48,"{'file': '<unknown file>', 'line': '0', 'type': 'statement'}",0,0.0,0.0,25,12,S,<unknown file>,0,-1,[],[13],"[11, 18, 10, 14, 5, 0, 2, 8, 13, 13, 13, 13, 12]",[0 4 0 3 2],"[8, 13, 13, 13, 13, 12]"
49,"{'file': '<unknown file>', 'line': '0', 'type': 'statement'}",1,0.0,0.0,25,12,S,<unknown file>,0,-1,[],[13],"[11, 18, 10, 14, 5, 0, 2, 8, 13, 13, 13, 13, 12]",[0 4 0 3 2],"[8, 13, 13, 13, 13, 12]"
50,"{'file': '<unknown file>', 'line': '0', 'type': 'statement'}",2,0.0,0.0,25,12,S,<unknown file>,0,-1,[],[13],"[11, 18, 10, 14, 5, 0, 2, 8, 13, 13, 13, 13, 12]",[0 4 0 3 2],"[8, 13, 13, 13, 13, 12]"
51,"{'file': '<unknown file>', 'line': '0', 'type': 'statement'}",3,0.0,0.0,25,12,S,<unknown file>,0,-1,[],[13],"[11, 18, 10, 14, 5, 0, 2, 8, 13, 13, 13, 13, 12]",[0 4 0 3 2],"[8, 13, 13, 13, 13, 12]"
52,"{'name': '62:MPI_Finalize', 'type': 'function'}",0,999238.0,0.0,27,10,PF,<unknown file>,0,0,[14],[18],"[11, 18, 10]",[0 4 0],[10]
53,"{'name': '62:MPI_Finalize', 'type': 'function'}",1,999390.0,0.0,27,10,PF,<unknown file>,0,0,[14],[18],"[11, 18, 10]",[0 4 0],[10]
54,"{'name': '62:MPI_Finalize', 'type': 'function'}",2,1000306.0,0.0,27,10,PF,<unknown file>,0,0,[14],[18],"[11, 18, 10]",[0 4 0],[10]
55,"{'name': '62:MPI_Finalize', 'type': 'function'}",3,999308.0,0.0,27,10,PF,<unknown file>,0,0,[14],[18],"[11, 18, 10]",[0 4 0],[10]
56,"{'name': 'PMPI_Finalize', 'type': 'function'}",0,999238.0,0.0,29,14,PF,/tmp/dpkg-mkdeb.gouoc49UG7/src/mvapich/src/build/../src/mpi/init/finalize.c,294,3,[5],[10],"[11, 18, 10, 14]",[0 4 0 3],[14]
57,"{'name': 'PMPI_Finalize', 'type': 'function'}",1,999390.0,0.0,29,14,PF,/tmp/dpkg-mkdeb.gouoc49UG7/src/mvapich/src/build/../src/mpi/init/finalize.c,294,3,[5],[10],"[11, 18, 10, 14]",[0 4 0 3],[14]
58,"{'name': 'PMPI_Finalize', 'type': 'function'}",2,1000306.0,0.0,29,14,PF,/tmp/dpkg-mkdeb.gouoc49UG7/src/mvapich/src/build/../src/mpi/init/finalize.c,294,3,[5],[10],"[11, 18, 10, 14]",[0 4 0 3],[14]
59,"{'name': 'PMPI_Finalize', 'type': 'function'}",3,999308.0,0.0,29,14,PF,/tmp/dpkg-mkdeb.gouoc49UG7/src/mvapich/src/build/../src/mpi/init/finalize.c,294,3,[5],[10],"[11, 18, 10, 14]",[0 4 0 3],[14]
60,"{'name': '294:MPID_Finalize', 'type': 'function'}",0,999238.0,0.0,31,5,PF,/tmp/dpkg-mkdeb.gouoc49UG7/src/mvapich/src/build/../src/mpid/ch3/src/mpid_finalize.c,162,3,[0],[14],"[11, 18, 10, 14, 5]",[0 4 0 3],"[14, 5]"
61,"{'name': '294:MPID_Finalize', 'type': 'function'}",1,999390.0,0.0,31,5,PF,/tmp/dpkg-mkdeb.gouoc49UG7/src/mvapich/src/build/../src/mpid/ch3/src/mpid_finalize.c,162,3,[0],[14],"[11, 18, 10, 14, 5]",[0 4 0 3],"[14, 5]"
62,"{'name': '294:MPID_Finalize', 'type': 'function'}",2,1000306.0,0.0,31,5,PF,/tmp/dpkg-mkdeb.gouoc49UG7/src/mvapich/src/build/../src/mpid/ch3/src/mpid_finalize.c,162,3,[0],[14],"[11, 18, 10, 14, 5]",[0 4 0 3],"[14, 5]"
63,"{'name': '294:MPID_Finalize', 'type': 'function'}",3,999308.0,0.0,31,5,PF,/tmp/dpkg-mkdeb.gouoc49UG7/src/mvapich/src/build/../src/mpid/ch3/src/mpid_finalize.c,162,3,[0],[14],"[11, 18, 10, 14, 5]",[0 4 0 3],"[14, 5]"
