"时间","管理员名","操作项","操作IP","请求URL","参数abc"
"2021-09-08 16:26:11","1","50","127.0.0.1","/celery_task/periodic_task/list","PeriodicTask 列表"
"2021-09-08 16:26:12","1","50","127.0.0.1","/celery_task/periodic_task/list?id__exact=&page_size=100&page=1&keywords=&ordering=&_=1631089572089","PeriodicTask 列表"
"2021-09-08 16:26:18","1","53","127.0.0.1","/celery_task/periodic_task/edit","PeriodicTask 编辑"
"2021-09-08 16:26:19","1","66","127.0.0.1","/celery_task/interval_schedule/list?&page_size=1000&fields=id%2Cname%2Calias%2Cusername","IntervalSchedule 列表"
"2021-09-08 16:26:19","1","62","127.0.0.1","/celery_task/crontab_schedule/list?&page_size=1000&fields=id%2Cname%2Calias%2Cusername","CrontabSchedule 列表"
"2021-09-08 16:26:19","1","54","127.0.0.1","/celery_task/solar_schedule/list?&page_size=1000&fields=id%2Cname%2Calias%2Cusername","SolarSchedule 列表"
"2021-09-08 16:26:19","1","58","127.0.0.1","/celery_task/clocked_schedule/list?&page_size=1000&fields=id%2Cname%2Calias%2Cusername","ClockedSchedule 列表"
"2021-09-08 16:26:26","1","54","127.0.0.1","/celery_task/solar_schedule/list","SolarSchedule 列表"
"2021-09-08 16:26:27","1","54","127.0.0.1","/celery_task/solar_schedule/list?id__exact=&page_size=100&page=1&keywords=&ordering=&_=1631089586856","SolarSchedule 列表"
"2021-09-08 19:02:06","1","6","127.0.0.1","/myadmin/user/save?id=1","用户_保存"
"2021-09-08 20:26:43","1","6","127.0.0.1","/myadmin/user/save?id=2","用户_保存"
"2021-09-08 20:36:37","1","6","127.0.0.1","/myadmin/user/save?id=1","用户_保存"
"2021-09-08 20:36:47","1","6","127.0.0.1","/myadmin/user/save?id=1","用户_保存"
"2021-09-08 20:37:15","1","6","127.0.0.1","/myadmin/user/save?id=1","用户_保存"
"2021-09-08 20:37:29","1","6","127.0.0.1","/myadmin/user/save?id=1","用户_保存"
"2021-09-08 20:39:15","1","6","127.0.0.1","/myadmin/user/save?id=1","用户_保存"
"2021-09-08 20:39:54","1","6","127.0.0.1","/myadmin/user/save?id=2","用户_保存"
"2021-09-08 20:40:11","1","6","127.0.0.1","/myadmin/user/save?id=2","用户_保存"
"2021-09-08 20:40:18","1","6","127.0.0.1","/myadmin/user/save?id=2","用户_保存"
"2021-09-08 20:42:32","1","6","127.0.0.1","/myadmin/user/save?id=2","用户_保存"
"2021-09-08 20:46:45","1","6","127.0.0.1","/myadmin/user/save?id=2","用户_保存"
"2021-09-08 20:47:15","1","6","127.0.0.1","/myadmin/user/save?id=2","用户_保存"
"2021-09-08 20:47:37","1","6","127.0.0.1","/myadmin/user/save?id=1","用户_保存"
"2021-09-08 20:48:34","1","6","127.0.0.1","/myadmin/user/save?id=2","用户_保存"
"2021-09-08 20:48:52","1","6","127.0.0.1","/myadmin/user/save?id=2","用户_保存"
"2021-09-08 21:12:37","1","50","127.0.0.1","/celery_task/periodic_task/list","PeriodicTask 列表"
"2021-09-08 21:12:40","1","50","127.0.0.1","/celery_task/periodic_task/list?id__exact=&page_size=100&page=1&keywords=&ordering=&_=1631106758120","PeriodicTask 列表"
"2021-09-08 21:13:27","1","54","127.0.0.1","/celery_task/solar_schedule/list","SolarSchedule 列表"
"2021-09-08 21:13:30","1","54","127.0.0.1","/celery_task/solar_schedule/list?id__exact=&page_size=100&page=1&keywords=&ordering=&_=1631106807788","SolarSchedule 列表"
"2021-09-10 14:21:38","1","99","127.0.0.1","/analysis/query_server/list","服务器模型 列表"
"2021-09-10 14:21:38","1","99","127.0.0.1","/analysis/query_server/list?id__exact=&page_size=100&page=1&keywords=&ordering=&_=1631254898311","服务器模型 列表"
"2021-09-10 14:21:46","1","117","127.0.0.1","/myadmin/menu/update_menu","更新菜单"
"2021-09-10 14:22:07","1","99","127.0.0.1","/analysis/query_server/list","服务器模型 列表"
"2021-09-10 14:22:08","1","99","127.0.0.1","/analysis/query_server/list?id__exact=&page_size=100&page=1&keywords=&ordering=&_=1631254928006","服务器模型 列表"
"2021-09-10 14:22:10","1","102","127.0.0.1","/analysis/query_server/edit","服务器模型 编辑"
"2021-09-10 14:23:16","1","102","127.0.0.1","/analysis/query_server/edit","服务器模型 编辑"
"2021-09-10 14:26:44","1","99","127.0.0.1","/analysis/query_server/list","查询服务器模型 列表"
"2021-09-10 14:26:44","1","99","127.0.0.1","/analysis/query_server/list?id__exact=&page_size=100&page=1&keywords=&ordering=&_=1631255204507","查询服务器模型 列表"
"2021-09-10 14:26:46","1","102","127.0.0.1","/analysis/query_server/edit","服务器模型 编辑"
"2021-09-10 14:27:58","1","102","127.0.0.1","/analysis/query_server/edit","服务器模型 编辑"
"2021-09-10 14:28:23","1","102","127.0.0.1","/analysis/query_server/edit","服务器模型 编辑"
"2021-09-10 14:31:03","1","100","127.0.0.1","/analysis/query_server/save","服务器模型 保存"
"2021-09-10 14:33:05","1","100","127.0.0.1","/analysis/query_server/save","服务器模型 保存"
"2021-09-10 14:33:05","1","99","127.0.0.1","/analysis/query_server/list?id__exact=&page_size=100&page=1&keywords=&ordering=&_=1631255204508","查询服务器模型 列表"
"2021-09-10 14:33:44","1","99","127.0.0.1","/analysis/query_server/list","查询服务器模型 列表"
"2021-09-10 14:33:44","1","99","127.0.0.1","/analysis/query_server/list?id__exact=&page_size=100&page=1&keywords=&ordering=&_=1631255624278","查询服务器模型 列表"
"2021-09-10 14:33:47","1","102","127.0.0.1","/analysis/query_server/edit?id=1","服务器模型 编辑"
