都道府県,郡,市区町村,コード,政令指定都市
北海道,,札幌市,011002,1
北海道,,函館市,012025,0
北海道,,小樽市,012033,0
北海道,,旭川市,012041,0
北海道,,室蘭市,012050,0
北海道,,釧路市,012068,0
北海道,,帯広市,012076,0
北海道,,北見市,012084,0
北海道,,夕張市,012092,0
北海道,,岩見沢市,012106,0
北海道,,網走市,012114,0
北海道,,留萌市,012122,0
北海道,,苫小牧市,012131,0
北海道,,稚内市,012149,0
北海道,,美唄市,012157,0
北海道,,芦別市,012165,0
北海道,,江別市,012173,0
北海道,,赤平市,012181,0
北海道,,紋別市,012190,0
北海道,,士別市,012203,0
北海道,,名寄市,012211,0
北海道,,三笠市,012220,0
北海道,,根室市,012238,0
北海道,,千歳市,012246,0
北海道,,滝川市,012254,0
北海道,,砂川市,012262,0
北海道,,歌志内市,012271,0
北海道,,深川市,012289,0
北海道,,富良野市,012297,0
北海道,,登別市,012301,0
北海道,,恵庭市,012319,0
北海道,,伊達市,012335,0
北海道,,北広島市,012343,0
北海道,,石狩市,012351,0
北海道,,北斗市,012360,0
北海道,石狩郡,当別町,013030,0
北海道,石狩郡,新篠津村,013048,0
北海道,松前郡,松前町,013315,0
北海道,松前郡,福島町,013323,0
北海道,上磯郡,知内町,013331,0
北海道,上磯郡,木古内町,013340,0
北海道,亀田郡,七飯町,013374,0
北海道,茅部郡,鹿部町,013439,0
北海道,茅部郡,森町,013455,0
北海道,二海郡,八雲町,013463,0
北海道,山越郡,長万部町,013471,0
北海道,檜山郡,江差町,013617,0
北海道,檜山郡,上ノ国町,013625,0
北海道,檜山郡,厚沢部町,013633,0
北海道,爾志郡,乙部町,013641,0
北海道,奥尻郡,奥尻町,013676,0
北海道,瀬棚郡,今金町,013706,0
北海道,久遠郡,せたな町,013714,0
北海道,島牧郡,島牧村,013919,0
北海道,寿都郡,寿都町,013927,0
北海道,寿都郡,黒松内町,013935,0
北海道,磯谷郡,蘭越町,013943,0
北海道,虻田郡,ニセコ町,013951,0
北海道,虻田郡,真狩村,013960,0
北海道,虻田郡,留寿都村,013978,0
北海道,虻田郡,喜茂別町,013986,0
北海道,虻田郡,京極町,013994,0
北海道,虻田郡,倶知安町,014001,0
北海道,岩内郡,共和町,014010,0
北海道,岩内郡,岩内町,014028,0
北海道,古宇郡,泊村,014036,0
北海道,古宇郡,神恵内村,014044,0
北海道,積丹郡,積丹町,014052,0
北海道,古平郡,古平町,014061,0
北海道,余市郡,仁木町,014079,0
北海道,余市郡,余市町,014087,0
北海道,余市郡,赤井川村,014095,0
北海道,空知郡,南幌町,014231,0
北海道,空知郡,奈井江町,014249,0
北海道,空知郡,上砂川町,014257,0
北海道,夕張郡,由仁町,014273,0
北海道,夕張郡,長沼町,014281,0
北海道,夕張郡,栗山町,014290,0
北海道,樺戸郡,月形町,014303,0
北海道,樺戸郡,浦臼町,014311,0
北海道,樺戸郡,新十津川町,014320,0
北海道,雨竜郡,妹背牛町,014338,0
北海道,雨竜郡,秩父別町,014346,0
北海道,雨竜郡,雨竜町,014362,0
北海道,雨竜郡,北竜町,014371,0
北海道,雨竜郡,沼田町,014389,0
北海道,上川郡,鷹栖町,014524,0
北海道,上川郡,東神楽町,014532,0
北海道,上川郡,当麻町,014541,0
北海道,上川郡,比布町,014559,0
北海道,上川郡,愛別町,014567,0
北海道,上川郡,上川町,014575,0
北海道,上川郡,東川町,014583,0
北海道,上川郡,美瑛町,014591,0
北海道,空知郡,上富良野町,014605,0
北海道,空知郡,中富良野町,014613,0
北海道,空知郡,南富良野町,014621,0
北海道,勇払郡,占冠村,014630,0
北海道,上川郡,和寒町,014648,0
北海道,上川郡,剣淵町,014656,0
北海道,上川郡,下川町,014681,0
北海道,中川郡,美深町,014699,0
北海道,中川郡,音威子府村,014702,0
北海道,中川郡,中川町,014711,0
北海道,雨竜郡,幌加内町,014729,0
北海道,増毛郡,増毛町,014818,0
北海道,留萌郡,小平町,014826,0
北海道,苫前郡,苫前町,014834,0
北海道,苫前郡,羽幌町,014842,0
北海道,苫前郡,初山別村,014851,0
北海道,天塩郡,遠別町,014869,0
北海道,天塩郡,天塩町,014877,0
北海道,宗谷郡,猿払村,015113,0
北海道,枝幸郡,浜頓別町,015121,0
北海道,枝幸郡,中頓別町,015130,0
北海道,枝幸郡,枝幸町,015148,0
北海道,天塩郡,豊富町,015164,0
北海道,天塩郡,幌延町,015172,0
北海道,礼文郡,礼文町,015181,0
北海道,利尻郡,利尻町,015199,0
北海道,利尻郡,利尻富士町,015202,0
北海道,網走郡,美幌町,015431,0
北海道,網走郡,津別町,015440,0
北海道,網走郡,大空町,015458,0
北海道,斜里郡,斜里町,015466,0
北海道,斜里郡,清里町,015474,0
北海道,斜里郡,小清水町,015491,0
北海道,常呂郡,訓子府町,015504,0
北海道,常呂郡,置戸町,015521,0
北海道,常呂郡,佐呂間町,015555,0
北海道,紋別郡,遠軽町,015598,0
北海道,紋別郡,湧別町,015601,0
北海道,紋別郡,滝上町,015610,0
北海道,紋別郡,興部町,015628,0
北海道,紋別郡,西興部村,015636,0
北海道,紋別郡,雄武町,015644,0
北海道,虻田郡,豊浦町,015717,0
北海道,虻田郡,洞爺湖町,015750,0
北海道,有珠郡,壮瞥町,015784,0
北海道,白老郡,白老町,015814,0
北海道,勇払郡,厚真町,015849,0
北海道,勇払郡,安平町,015857,0
北海道,勇払郡,むかわ町,015865,0
北海道,沙流郡,日高町,016012,0
北海道,沙流郡,平取町,016021,0
北海道,新冠郡,新冠町,016047,0
北海道,浦河郡,浦河町,016071,0
北海道,様似郡,様似町,016080,0
北海道,幌泉郡,えりも町,016098,0
北海道,日高郡,新ひだか町,016101,0
北海道,河東郡,音更町,016314,0
北海道,河東郡,士幌町,016322,0
北海道,河東郡,上士幌町,016331,0
北海道,河東郡,鹿追町,016349,0
北海道,上川郡,新得町,016357,0
北海道,上川郡,清水町,016365,0
北海道,河西郡,芽室町,016373,0
北海道,河西郡,中札内村,016381,0
北海道,河西郡,更別村,016390,0
北海道,広尾郡,大樹町,016411,0
北海道,広尾郡,広尾町,016420,0
北海道,中川郡,幕別町,016438,0
北海道,中川郡,池田町,016446,0
北海道,中川郡,豊頃町,016454,0
北海道,中川郡,本別町,016462,0
北海道,足寄郡,足寄町,016471,0
北海道,足寄郡,陸別町,016489,0
北海道,十勝郡,浦幌町,016497,0
北海道,釧路郡,釧路町,016616,0
北海道,厚岸郡,厚岸町,016624,0
北海道,厚岸郡,浜中町,016632,0
北海道,川上郡,標茶町,016641,0
北海道,川上郡,弟子屈町,016659,0
北海道,阿寒郡,鶴居村,016675,0
北海道,白糠郡,白糠町,016683,0
北海道,野付郡,別海町,016918,0
北海道,標津郡,中標津町,016926,0
北海道,標津郡,標津町,016934,0
北海道,目梨郡,羅臼町,016942,0
青森県,,青森市,022012,0
青森県,,弘前市,022021,0
青森県,,八戸市,022039,0
青森県,,黒石市,022047,0
青森県,,五所川原市,022055,0
青森県,,十和田市,022063,0
青森県,,三沢市,022071,0
青森県,,むつ市,022080,0
青森県,,つがる市,022098,0
青森県,,平川市,022101,0
青森県,東津軽郡,平内町,023019,0
青森県,東津軽郡,今別町,023035,0
青森県,東津軽郡,蓬田村,023043,0
青森県,東津軽郡,外ヶ浜町,023078,0
青森県,西津軽郡,鰺ヶ沢町,023213,0
青森県,西津軽郡,深浦町,023230,0
青森県,中津軽郡,西目屋村,023434,0
青森県,南津軽郡,藤崎町,023612,0
青森県,南津軽郡,大鰐町,023621,0
青森県,南津軽郡,田舎館村,023671,0
青森県,北津軽郡,板柳町,023817,0
青森県,北津軽郡,鶴田町,023841,0
青森県,北津軽郡,中泊町,023876,0
青森県,上北郡,野辺地町,024015,0
青森県,上北郡,七戸町,024023,0
青森県,上北郡,六戸町,024058,0
青森県,上北郡,横浜町,024066,0
青森県,上北郡,東北町,024082,0
