,node,time (inc),time,nid,name,rank,callees,callers,dataset,imbalance_perc_inclusive,imbalance_perc_exclusive,std_deviation_inclusive,std_deviation_exclusive,skewness_inclusive,skewness_exclusive,kurtosis_inclusive,kurtosis_exclusive,module,vis_node_name,path,group_path,component_path,show_node,vis_name,component_level,entry_function
0,"{'name': 'main', 'type': 'region'}",0.492491,0.025327,0,main,0,"['TimeIncrement', 'LagrangeLeapFrog']",[],caliper-ex,-0.9485736795190166,0.0,,,0.0,0.0,-3.0,-3.0,main,main=main,['main'],['main=main'],"('main', 'main')",True,main=main,2,True
1,"{'name': 'LagrangeLeapFrog', 'type': 'region'}",0.467062,0.000226,2,LagrangeLeapFrog,0,"['LagrangeNodal', 'LagrangeElements', 'CalcTimeConstraintsForElems']",['main'],caliper-ex,-0.999516124197644,0.0,,,0.0,0.0,-3.0,-3.0,LagrangeLeapFrog,LagrangeLeapFrog=LagrangeLeapFrog,"['main', 'LagrangeLeapFrog']","['main=main', 'LagrangeLeapFrog=LagrangeLeapFrog']","('LagrangeLeapFrog', 'LagrangeLeapFrog')",True,LagrangeLeapFrog=LagrangeLeapFrog,2,True
2,"{'name': 'CalcTimeConstraintsForElems', 'type': 'region'}",0.004628,0.004628,17,CalcTimeConstraintsForElems,0,[],['LagrangeLeapFrog'],caliper-ex,0.0,0.0,,,0.0,0.0,-3.0,-3.0,CalcTimeConstraintsForElems,CalcTimeConstraintsForElems=CalcTimeConstraintsForElems,"['main', 'LagrangeLeapFrog', 'CalcTimeConstraintsForElems']","['main=main', 'LagrangeLeapFrog=LagrangeLeapFrog', 'CalcTimeConstraintsForElems=CalcTimeConstraintsForElems']","('CalcTimeConstraintsForElems', 'CalcTimeConstraintsForElems')",True,LagrangeLeapFrog=CalcTimeConstraintsForElems,2,True
3,"{'name': 'LagrangeElements', 'type': 'region'}",0.249181,0.001367,9,LagrangeElements,0,"['CalcLagrangeElements', 'CalcQForElems', 'ApplyMaterialPropertiesForElems']",['LagrangeLeapFrog'],caliper-ex,-0.9945140279555824,0.0,,,0.0,0.0,-3.0,-3.0,LagrangeElements,LagrangeElements=LagrangeElements,"['main', 'LagrangeLeapFrog', 'LagrangeElements']","['main=main', 'LagrangeLeapFrog=LagrangeLeapFrog', 'LagrangeElements=LagrangeElements']","('LagrangeElements', 'LagrangeElements')",True,LagrangeElements=LagrangeElements,2,True
4,"{'name': 'ApplyMaterialPropertiesForElems', 'type': 'region'}",0.143233,0.00241,14,ApplyMaterialPropertiesForElems,0,['EvalEOSForElems'],['LagrangeElements'],caliper-ex,-0.9831742684995777,0.0,,,0.0,0.0,-3.0,-3.0,ApplyMaterialPropertiesForElems,ApplyMaterialPropertiesForElems=ApplyMaterialPropertiesForElems,"['main', 'LagrangeLeapFrog', 'LagrangeElements', 'ApplyMaterialPropertiesForElems']","['main=main', 'LagrangeLeapFrog=LagrangeLeapFrog', 'LagrangeElements=LagrangeElements', 'ApplyMaterialPropertiesForElems=ApplyMaterialPropertiesForElems']","('ApplyMaterialPropertiesForElems', 'ApplyMaterialPropertiesForElems')",True,ApplyMaterialPropertiesForElems=ApplyMaterialPropertiesForElems,2,True
5,"{'name': 'EvalEOSForElems', 'type': 'region'}",0.140823,0.044917,15,EvalEOSForElems,0,['CalcEnergyForElems'],['ApplyMaterialPropertiesForElems'],caliper-ex,-0.6810393188612656,0.0,,,0.0,0.0,-3.0,-3.0,EvalEOSForElems,EvalEOSForElems=EvalEOSForElems,"['main', 'LagrangeLeapFrog', 'LagrangeElements', 'ApplyMaterialPropertiesForElems', 'EvalEOSForElems']","['main=main', 'LagrangeLeapFrog=LagrangeLeapFrog', 'LagrangeElements=LagrangeElements', 'ApplyMaterialPropertiesForElems=ApplyMaterialPropertiesForElems', 'EvalEOSForElems=EvalEOSForElems']","('EvalEOSForElems', 'EvalEOSForElems')",True,EvalEOSForElems=EvalEOSForElems,2,True
6,"{'name': 'CalcEnergyForElems', 'type': 'region'}",0.095906,0.095906,16,CalcEnergyForElems,0,[],['EvalEOSForElems'],caliper-ex,0.0,0.0,,,0.0,0.0,-3.0,-3.0,CalcEnergyForElems,CalcEnergyForElems=CalcEnergyForElems,"['main', 'LagrangeLeapFrog', 'LagrangeElements', 'ApplyMaterialPropertiesForElems', 'EvalEOSForElems', 'CalcEnergyForElems']","['main=main', 'LagrangeLeapFrog=LagrangeLeapFrog', 'LagrangeElements=LagrangeElements', 'ApplyMaterialPropertiesForElems=ApplyMaterialPropertiesForElems', 'EvalEOSForElems=EvalEOSForElems', 'CalcEnergyForElems=CalcEnergyForElems']","('CalcEnergyForElems', 'CalcEnergyForElems')",True,EvalEOSForElems=CalcEnergyForElems,2,True
7,"{'name': 'CalcLagrangeElements', 'type': 'region'}",0.058562,0.002862,10,CalcLagrangeElements,0,['CalcKinematicsForElems'],['LagrangeElements'],caliper-ex,-0.9511287182814794,0.0,,,0.0,0.0,-3.0,-3.0,CalcLagrangeElements,CalcLagrangeElements=CalcLagrangeElements,"['main', 'LagrangeLeapFrog', 'LagrangeElements', 'CalcLagrangeElements']","['main=main', 'LagrangeLeapFrog=LagrangeLeapFrog', 'LagrangeElements=LagrangeElements', 'CalcLagrangeElements=CalcLagrangeElements']","('CalcLagrangeElements', 'CalcLagrangeElements')",True,CalcLagrangeElements=CalcLagrangeElements,2,True
8,"{'name': 'CalcKinematicsForElems', 'type': 'region'}",0.0557,0.0557,11,CalcKinematicsForElems,0,[],['CalcLagrangeElements'],caliper-ex,0.0,0.0,,,0.0,0.0,-3.0,-3.0,CalcKinematicsForElems,CalcKinematicsForElems=CalcKinematicsForElems,"['main', 'LagrangeLeapFrog', 'LagrangeElements', 'CalcLagrangeElements', 'CalcKinematicsForElems']","['main=main', 'LagrangeLeapFrog=LagrangeLeapFrog', 'LagrangeElements=LagrangeElements', 'CalcLagrangeElements=CalcLagrangeElements', 'CalcKinematicsForElems=CalcKinematicsForElems']","('CalcKinematicsForElems', 'CalcKinematicsForElems')",True,CalcLagrangeElements=CalcKinematicsForElems,2,True
9,"{'name': 'CalcQForElems', 'type': 'region'}",0.046019,0.031685,12,CalcQForElems,0,['CalcMonotonicQForElems'],['LagrangeElements'],caliper-ex,-0.31148004085269126,0.0,,,0.0,0.0,-3.0,-3.0,CalcQForElems,CalcQForElems=CalcQForElems,"['main', 'LagrangeLeapFrog', 'LagrangeElements', 'CalcQForElems']","['main=main', 'LagrangeLeapFrog=LagrangeLeapFrog', 'LagrangeElements=LagrangeElements', 'CalcQForElems=CalcQForElems']","('CalcQForElems', 'CalcQForElems')",True,CalcQForElems=CalcQForElems,2,True
